2022 Rank,Airport,ICAO,2022 Enplaned Passengers,2022 Originating Domestic Passengers,Latitude,Longitude,Elevation,Flights Per Year,Delays,Canceled,Avg. Delay (Mins),Security Delay (Mins)
1,ATL,KATL,45372100.0,1088364,32.896801,-97.038002,607,"362,713",0.168,0.006999999999999999,11.1,0.06
2,DFW,KDFW,35329400.0,859264,39.861698150635,-104.672996521,5431,"278,828",0.223,0.027999999999999997,15.7,0.03
3,DEN,KDEN,33749900.0,1138192,41.9786,-87.9048,672,"230,693",0.226,0.02,16.0,0.04
4,ORD,KORD,33100400.0,1085583,33.942501,-118.407997,125,"312,159",0.228,0.033,17.6,0.02
5,LAX,KLAX,32271400.0,1324394,40.639801,-73.7789,13,"201,287",0.185,0.013000000000000001,12.7,0.15
6,JFK,KJFK,26923300.0,763958,36.08010101,-115.1520004,2181,"116,695",0.18600000000000003,0.017,15.8,0.12
7,LAS,KLAS,25264700.0,829770,28.429399490356445,-81.30899810791016,96,"150,794",0.19699999999999998,0.013000000000000001,13.1,0.05
8,MCO,KMCO,24431300.0,925518,25.79319953918457,-80.29060363769531,8,"130,016",0.215,0.018000000000000002,16.7,0.43
9,MIA,KMIA,23673000.0,537910,35.2140007019043,-80.94309997558594,748,"80,840",0.192,0.013000000000000001,14.1,0.1
10,CLT,KCLT,23085500.0,409225,47.449001,-122.308998,433,"215,748",0.195,0.017,13.6,0.19
11,SEA,KSEA,22113500.0,908387,33.435302,-112.005905,1135,"130,541",0.16699999999999998,0.009000000000000001,10.7,0.07
12,PHX,KPHX,21791000.0,868167,40.692501,-74.168701,18,"159,928",0.188,0.013999999999999999,12.1,0.13
13,EWR,KEWR,21538400.0,919009,37.61899948120117,-122.375,13,"124,520",0.249,0.027000000000000003,21.0,0.06
14,SFO,KSFO,20401800.0,820323,29.984399795532227,-95.34140014648438,97,"156,897",0.214,0.021,15.9,0.08
15,IAH,KIAH,19799400.0,606033,42.3643,-71.005203,20,"164,466",0.193,0.015,15.7,0.03
16,BOS,KBOS,17431800.0,919227,26.072599,-80.152702,9,"137,991",0.207,0.02,16.8,0.06
17,FLL,KFLL,15345900.0,605198,44.882,-93.221802,841,"89,100",0.222,0.013999999999999999,16.5,0.23
18,MSP,KMSP,15202700.0,655028,40.777199,-73.872597,21,"148,165",0.15,0.011000000000000001,11.9,0.13
19,LGA,KLGA,14366900.0,747533,42.212398529052734,-83.35340118408203,645,"157,960",0.225,0.03,18.3,0.06
20,DTW,KDTW,13725600.0,589164,39.87189865112305,-75.24109649658203,36,"148,075",0.161,0.011000000000000001,13.1,0.13
21,PHL,KPHL,12398600.0,612722,40.785749,-111.979746,4227,"109,468",0.17800000000000002,0.022000000000000002,13.8,0.08
22,SLC,KSLC,12370400.0,464454,38.8521,-77.037697,15,"105,043",0.134,0.004,10.2,0.02
23,DCA,KDCA,11533500.0,531181,32.7336006165,-117.190002441,17,"128,150",0.18,0.026000000000000002,14.4,0.05
24,SAN,KSAN,11122100.0,605311,39.1754,-76.668297,146,"85,744",0.16899999999999998,0.017,11.0,0.1
25,BWI,KBWI,11063900.0,510849,27.975500106811523,-82.533203125,26,"95,601",0.203,0.026000000000000002,13.1,0.26
26,TPA,KTPA,10516300.0,547506,30.197535,-97.662015,542,"69,352",0.18,0.015,13.7,0.04
27,AUS,KAUS,10358100.0,520863,38.9445,-77.455803,312,"61,222",0.17600000000000002,0.015,13.5,0.08
28,IAD,KIAD,10239800.0,275957,36.1245002746582,-86.6781997680664,599,"63,427",0.157,0.015,15.5,0.07
29,BNA,KBNA,9805500.0,456900,41.785999,-87.752403,620,"75,807",0.19399999999999998,0.017,13.8,0.06
30,MDW,KMDW,9636200.0,389902,21.32062,-157.924228,13,"76,906",0.263,0.040999999999999995,15.1,0.11
31,HNL,PHNL,8799800.0,345472,32.847099,-96.851799,487,"47,342",0.1,0.002,6.9,1.64
32,DAL,KDAL,7756800.0,327518,45.58869934,-122.5979996,31,"67,624",0.235,0.033,13.2,0.09
33,PDX,KPDX,7233000.0,447280,38.748697,-90.370003,618,"57,064",0.12300000000000001,0.006999999999999999,8.3,0.07
34,STL,KSTL,6692700.0,341165,29.64539909,-95.27890015,46,"62,730",0.21600000000000003,0.023,14.1,0.04
35,HOU,KHOU,6429000.0,252999,38.69540023803711,-121.59100341796875,27,"55,433",0.245,0.033,14.1,0.22
36,SMF,KSMF,6034500.0,390303,29.99340057373047,-90.25800323486328,4,"46,990",0.141,0.015,8.9,0.1
37,MSY,KMSY,5914300.0,290985,35.877601623535156,-78.7874984741211,435,"53,363",0.192,0.02,13.7,0.2
38,RDU,KRDU,5829800.0,359980,37.362598,-121.929001,62,"58,761",0.187,0.018000000000000002,15.3,0.05
39,SJC,KSJC,5577400.0,325744,33.675701,-117.867996,56,"57,707",0.142,0.019,8.9,0.09
40,SNA,KSNA,5493600.0,306901,37.721298,-122.221001,9,"37,356",0.15,0.012,10.0,0.04
41,OAK,KOAK,5424400.0,323701,26.53619956970215,-81.75520324707031,30,"48,636",0.193,0.02,10.8,0.32
42,RSW,KRSW,5125400.0,237339,18.4393997192,-66.0018005371,9,"30,645",0.177,0.013000000000000001,15.0,0.02
43,SJU,TJSJ,5012200.0,255939,39.2976,-94.713898,1026,"24,234",0.209,0.009000000000000001,17.4,0.12
44,MCI,KMCI,4784600.0,305067,29.533701,-98.469803,809,"50,569",0.158,0.021,11.5,0.04
45,SAT,KSAT,4725300.0,270392,41.4117012024,-81.8498001099,791,"37,350",0.154,0.015,11.8,0.04
46,CLE,KCLE,4222300.0,285126,39.7173,-86.294403,797,"45,686",0.16899999999999998,0.023,14.2,0.05
47,IND,KIND,4180500.0000000005,278800,20.8986,-156.429993,54,"44,994",0.157,0.02,12.5,0.07
48,OGG,PHOG,4120500.0,129400,40.49150085,-80.23290253,1203,"24,834",0.107,0.004,8.5,0.02
49,PIT,KPIT,3887500.0,258489,39.048801,-84.667801,896,"46,242",0.151,0.018000000000000002,12.3,0.07
50,CVG,KCVG,3653300.0,254412,39.998001,-82.891899,815,"44,470",0.18100000000000002,0.017,14.8,0.05
51,CMH,KCMH,3598800.0,239533,26.68320083618164,-80.09559631347656,19,"43,808",0.155,0.02,11.8,0.03
52,PBI,KPBI,3245700.0,182309,30.49410057067871,-81.68789672851562,30,"23,338",0.20600000000000002,0.017,17.6,0.06
53,JAX,KJAX,3164300.0,187142,34.197703,-118.356378,778,"31,281",0.159,0.018000000000000002,13.1,0.08
54,BUR,KBUR,2947600.0,186773,41.9388999939,-72.68319702149999,173,"29,239",0.161,0.035,10.9,0.04
55,BDL,KBDL,2838900.0,204954,34.055999755859375,-117.60099792480469,944,"26,326",0.151,0.019,12.0,0.05
56,ONT,KONT,2834900.0,189781,42.947200775146484,-87.89659881591797,723,"20,556",0.152,0.015,10.1,0.02
57,MKE,KMKE,2640100.0,184263,32.898602,-80.040497,46,"28,380",0.159,0.022000000000000002,12.3,0.06
58,CHS,KCHS,2604900.0,137380,61.1744,-149.996002,152,"23,692",0.16399999999999998,0.022000000000000002,13.4,0.05
59,ANC,PANC,2482900.0,124301,35.040199,-106.609001,5355,"17,600",0.09699999999999999,0.008,6.3,0.05
60,ABQ,KABQ,2314600.0,137221,43.5644,-116.223,2871,"21,681",0.162,0.015,12.4,0.57
61,BOI,KBOI,2226400.0,138414,41.3032,-95.894096,984,"17,334",0.121,0.006999999999999999,9.6,0.05
62,OMA,KOMA,2197300.0,143820,35.04240036010742,-89.97669982910156,341,"23,789",0.161,0.02,12.8,0.28
63,MEM,KMEM,2150800.0,136518,39.49909973144531,-119.76799774169922,4415,"23,652",0.165,0.02,13.7,0.03
64,RNO,KRNO,2097300.0,117293,36.89459991455078,-76.20120239257812,26,"18,360",0.14,0.015,11.3,0.1
65,ORF,KORF,2060900.0000000002,128071,37.50519943237305,-77.3197021484375,167,"22,709",0.175,0.028999999999999998,15.4,0.01
66,RIC,KRIC,2033799.9999999998,134556,19.738783,-156.045603,47,"22,785",0.166,0.019,14.0,0.1
67,KOA,PHKO,1998500.0,76572,42.94049835,-78.73220062,728,"14,070",0.085,0.003,6.1,0.09
68,BUF,KBUF,1994100.0,136996,35.39310073852539,-97.60070037841797,1295,"22,900",0.16399999999999998,0.027999999999999997,14.0,0.06
69,OKC,KOKC,1920100.0,123232,27.39539909362793,-82.55439758300781,30,"22,115",0.16899999999999998,0.021,14.0,0.07
70,SRQ,KSRQ,1909600.0,92942,47.61989974975586,-117.53399658203125,2376,"7,430",0.17600000000000002,0.01,15.0,0.02
71,GEG,KGEG,1902800.0,119839,38.1744,-85.736,501,"10,875",0.12300000000000001,0.008,10.4,0.05
72,SDF,KSDF,1883200.0,119845,31.80719948,-106.3779984,3959,"22,237",0.162,0.018000000000000002,13.4,0.02
73,ELP,KELP,1864400.0,125552,21.97599983215332,-159.33900451660156,153,"15,531",0.158,0.016,11.9,0.01
74,LIH,PHLI,1764500.0,66609,32.12760162,-81.20210266,50,"12,741",0.09300000000000001,0.003,8.0,0.11
75,SAV,KSAV,1723000.0,83336,42.88079834,-85.52279663,794,"16,314",0.17800000000000002,0.021,15.9,0.02
76,GRR,KGRR,1712900.0,118884,33.6796989441,-78.9282989502,25,"17,571",0.16899999999999998,0.027000000000000003,14.2,0.01
77,MYR,KMYR,1701800.0,72585,32.115004,-110.938053,2643,"11,244",0.18899999999999997,0.023,15.6,0.02
78,TUS,KTUS,1691800.0,100275,33.817699,-118.152,60,"17,528",0.141,0.015,11.7,0.07
79,LGB,KLGB,1594000.0,100135,41.732601,-71.420403,55,"14,399",0.128,0.005,9.0,0.04
80,PVD,KPVD,1564000.0,110462,33.8297,-116.507004,477,"16,590",0.165,0.023,13.8,0.16
81,PSP,KPSP,1498700.0,60627,36.19839859008789,-95.88809967041016,677,"11,115",0.17600000000000002,0.017,15.1,0.02
82,TUL,KTUL,1443700.0,92688,41.534,-93.663101,958,"15,761",0.14800000000000002,0.019,12.4,0.02
83,DSM,KDSM,1361100.0,92967,28.777599334716797,-81.23750305175781,55,"15,560",0.15,0.021,13.0,0.01
84,SFB,KSFB,1359900.0,54985,33.56290054,-86.75350189,650,"9,789",0.158,0.008,10.5,0.07
85,BHM,KBHM,1324400.0,83986,42.74829864501953,-73.80169677734375,285,"17,908",0.17300000000000001,0.023,14.2,0.12
86,ALB,KALB,1275500.0,89318,43.11119842529297,-76.1063003540039,421,"11,625",0.163,0.022000000000000002,13.8,0.05
87,SYR,KSYR,1239300.0,85638,30.4734,-87.1866,121,"13,017",0.156,0.027999999999999997,14.9,0.0
88,PNS,KPNS,1210700.0,66827,35.81100082,-83.9940033,981,"11,586",0.16,0.019,13.0,0.05
89,TYS,KTYS,1209900.0,71373,27.91020012,-82.68740082,11,"16,569",0.163,0.017,14.6,0.04
90,PIE,KPIE,1202800.0,53464,43.1189,-77.672401,559,"7,062",0.13699999999999998,0.003,10.0,0.11
91,ROC,KROC,1155300.0,79221,45.77750015,-111.1529999,4473,"13,375",0.174,0.03,15.5,0.02
92,BZN,KBZN,1132400.0,56730,36.776199,-119.718002,336,"6,241",0.16,0.006999999999999999,15.2,0.0
93,FAT,KFAT,1074400.0,62639,38.805801,-104.700996,6187,"11,325",0.157,0.011000000000000001,14.7,0.04
94,COS,KCOS,1071500.0,65947,34.895699,-82.218903,964,"9,209",0.19399999999999998,0.023,20.0,0.0
95,GSP,KGSP,1064100.0,65465,30.4832,-86.525398,87,"14,646",0.17,0.021,15.1,0.02
96,VPS,KVPS,985500.0,38873,43.646198,-70.309303,76,"8,212",0.168,0.016,14.0,0.06
97,PWM,KPWM,981700.0,60037,34.729582,-92.223728,262,"10,417",0.18100000000000002,0.027000000000000003,16.8,0.06
98,LIT,KLIT,981000.0,62186,33.3078,-111.654999,1382,"13,152",0.159,0.017,12.9,0.04
99,AZA,KIWA,942700.0,45373,26.92020035,-81.9905014,26,"5,172",0.21,0.006,14.0,0.12
100,PGD,KPGD,920500.0,39514,35.436199,-82.541801,2165,"4,787",0.155,0.003,11.5,0.11
101,AVL,KAVL,918200.0,54047,43.1399,-89.337502,887,"8,718",0.17600000000000002,0.02,16.2,0.02
102,MSN,KMSN,908600.0,59253,41.06700134277344,-73.70760345458984,439,"12,872",0.165,0.025,15.4,0.03
103,HPN,KHPN,892000.0,67206,36.281898,-94.306801,1287,"10,634",0.218,0.027999999999999997,20.9,0.09
104,XNA,KXNA,808400.0,50123,36.097801208496094,-79.93730163574219,925,"12,995",0.17800000000000002,0.022000000000000002,15.5,0.02
105,GSO,KGSO,782700.0,48146,44.12459945678711,-123.21199798583984,374,"13,487",0.16399999999999998,0.024,14.4,0.02
106,EUG,KEUG,776500.0,51096,37.649899,-97.433098,1333,"4,639",0.15,0.018000000000000002,14.3,0.0
107,ICT,KICT,758800.0,48702,30.357106,-85.795414,69,"9,776",0.171,0.027999999999999997,15.6,0.01
108,ECP,KECP,746200.0,32859,24.556101,-81.759598,3,"6,122",0.14300000000000002,0.013000000000000001,11.5,0.19
109,EYW,KEYW,692600.0,18879,42.932598,-71.435699,266,"5,115",0.16899999999999998,0.006,13.2,0.04
110,MHT,KMHT,642800.0,45435,19.721399307250977,-155.04800415039062,38,"7,485",0.121,0.022000000000000002,10.1,0.09
111,ITO,PHTO,636200.0,35787,31.9424991607666,-102.2020034790039,2871,"5,595",0.057999999999999996,0.002,3.7,0.0
112,MAF,KMAF,632600.0,41017,40.1935005188,-76.7633972168,310,"8,788",0.15,0.027999999999999997,12.4,0.04
113,MDT,KMDT,617900.0,41734,40.79520035,-73.10019684,99,"5,797",0.174,0.02,16.3,0.09
114,ISP,KISP,610400.0,48425,34.42620087,-119.8399963,13,"4,955",0.151,0.019,12.2,0.16
115,SBA,KSBA,609700.0,36934,41.884701,-91.7108,869,"6,660",0.171,0.023,16.4,0.0
116,CID,KCID,605700.0,41800,43.585463,-96.741152,1429,"8,704",0.18899999999999997,0.03,16.8,0.05
117,FSD,KFSD,601900.0,40484,44.471900939899996,-73.15329742429999,335,"6,516",0.17800000000000002,0.033,16.7,0.12
118,BTV,KBTV,600800.0,37383,32.3111991882,-90.0758972168,346,"8,861",0.193,0.026000000000000002,20.2,0.01
119,JAN,KJAN,597600.0,38716,34.637199401855,-86.775100708008,629,"7,507",0.16699999999999998,0.026000000000000002,15.1,0.1
120,HSV,KHSV,586800.0,34893,38.0364990234375,-84.60590362548828,979,"8,908",0.15,0.022000000000000002,12.9,0.04
121,LEX,KLEX,571500.0,36611,39.902400970458984,-84.21939849853516,1009,"8,407",0.158,0.019,14.2,0.04
122,DAY,KDAY,555300.0,34471,37.24570084,-93.38860321,1268,"12,702",0.16399999999999998,0.025,13.7,0.02
123,SGF,KSGF,537200.0,31850,34.270599365234375,-77.90260314941406,32,"7,904",0.196,0.021,16.9,0.1
124,ILM,KILM,535200.0,32469,44.2541008,-121.1500015,3080,"6,323",0.17,0.022000000000000002,13.9,0.2
125,RDM,KRDM,512800.00000000006,32302,42.37419891357422,-122.87300109863281,1335,"3,570",0.183,0.026000000000000002,20.7,0.0
126,MFR,KMFR,503800.0,33162,64.81510162,-147.8560028,439,"3,608",0.187,0.021,20.6,0.05
127,FAI,PAFA,500299.99999999994,29872,33.93880081176758,-81.11949920654297,236,"4,377",0.081,0.006999999999999999,6.0,0.04
128,CAE,KCAE,498900.0,30308,33.663601,-101.822998,3282,"6,843",0.145,0.013000000000000001,11.2,0.0
129,LBB,KLBB,485400.0,32223,46.92070007324219,-96.81580352783203,902,"6,498",0.154,0.035,13.6,0.0
130,FAR,KFAR,457200.0,30695,26.176141,-98.237965,107,"5,483",0.188,0.031,19.6,0.09
131,MFE,KMFE,447800.0,31799,26.228500366210938,-97.65440368652344,36,"5,107",0.158,0.027000000000000003,13.7,0.03
132,HRL,KHRL,432500.0,27787,35.035301,-85.203796,683,"4,125",0.153,0.025,12.6,0.0
133,CHA,KCHA,429500.0,27673,46.91630173,-114.0910034,3206,"8,245",0.16399999999999998,0.017,14.7,0.01
134,MSO,KMSO,423500.0,24527,2.57013,-77.8986,164,"3,248",0.161,0.005,12.3,0.04
135,FCA,SKGP,420400.0,20575,40.651773,-75.442797,393,"2,829",0.094,0.006,9.2,0.0
136,ABE,KABE,418600.0,31414,44.258098602299995,-88.5190963745,918,"4,655",0.166,0.016,15.0,0.07
137,ATW,KATW,415400.0,30300,39.45759963989258,-74.57720184326172,75,"3,969",0.16899999999999998,0.023,14.9,0.02
138,ACY,KACY,411600.0,31811,43.6072998046875,-110.73799896240234,6451,"2,821",0.105,0.016,9.3,0.0
139,JAC,KJAC,399200.0,14088,30.396499633789062,-84.35030364990234,81,"4,194",0.203,0.016,21.5,0.04
140,TLH,KTLH,392900.0,23763,46.26470184326172,-119.11900329589844,410,"5,979",0.124,0.018000000000000002,9.9,0.03
141,PSC,KPSC,390400.0,26623,45.807701110839844,-108.54299926757812,3652,"2,620",0.136,0.013000000000000001,15.0,0.07
142,BIL,KBIL,386400.0,22867,58.35499954223633,-134.5760040283203,21,"3,710",0.124,0.008,10.8,0.01
143,JNU,PAJN,359300.0,16351,35.219398,-101.706001,3607,"4,160",0.11800000000000001,0.015,7.4,0.21
144,AMA,KAMA,358300.0,23877,40.97850037,-85.19509888,814,"4,799",0.155,0.035,14.0,0.16
145,FWA,KFWA,357300.0,25093,41.708698,-86.317299,799,"6,468",0.17800000000000002,0.017,17.3,0.01
146,SBN,KSBN,357100.0,24742,41.26369858,-72.88680267,12,"6,440",0.201,0.019,17.0,0.17
147,HVN,KHVN,343300.0,29911,44.80739974975586,-68.8281021118164,192,998,0.12300000000000001,0.052000000000000005,11.0,0.0
148,BGR,KBGR,336900.0,19773,44.0452995300293,-103.05699920654297,3204,"3,539",0.214,0.031,18.2,0.0
149,RAP,KRAP,330700.0,17176,40.27669906616211,-74.8134994506836,213,"4,672",0.17800000000000002,0.03,19.9,0.03
150,TTN,KTTN,328100.0,29090,30.533199,-91.149597,70,"2,728",0.23800000000000002,0.024,20.9,0.0
151,BTR,KBTR,326400.0,20059,48.79280090332031,-122.53800201416016,170,"7,053",0.146,0.025,13.4,0.04
152,BLI,KBLI,320300.0,24288,27.77039909362793,-97.5011978149414,44,"1,709",0.084,0.006999999999999999,5.9,0.22
153,CRP,KCRP,317100.0,19386,43.514599,-112.070999,4744,"5,364",0.146,0.033,12.1,0.04
154,IDA,KIDA,308400.0,18877,38.50899887,-122.8130035,128,"1,971",0.096,0.006,9.0,0.0
155,STS,KSTS,303500.0,18980,39.22320175,-106.8690033,7820,"2,470",0.138,0.037000000000000005,11.1,0.43
156,ASE,KASE,298800.0,11174,42.96540069580078,-83.74359893798828,782,"5,887",0.257,0.078,28.2,0.05
157,FNT,KFNT,298500.0,23509,37.3255,-79.975403,1175,"3,142",0.155,0.028999999999999998,13.6,0.03
158,ROA,KROA,296800.0,18411,44.48509979248047,-88.12960052490234,695,"2,624",0.172,0.013000000000000001,15.3,0.08
159,GRB,KGRB,294100.0,19193,44.74140167236328,-85.58219909667969,624,"4,706",0.151,0.028999999999999998,14.4,0.02
160,TVC,KTVC,287800.0,16513,40.664199829100006,-89.6932983398,660,"4,027",0.198,0.032,19.5,0.01
161,PIA,KPIA,283200.0,21184,29.179899,-81.058098,34,"4,275",0.165,0.027999999999999997,15.5,0.12
162,DAB,KDAB,278200.0,15388,35.236801147499996,-120.641998291,212,"3,034",0.136,0.018000000000000002,9.6,0.68
163,SBP,KSBP,272500.0,16825,32.446602,-93.8256,258,"4,743",0.19899999999999998,0.023,19.9,0.03
164,SHV,KSHV,271700.0,16648,41.44850158691406,-90.50749969482422,590,"6,501",0.179,0.025,15.0,0.07
165,MLI,KMLI,267700.0,18503,33.36989974975586,-81.9645004272461,144,"4,431",0.168,0.03,16.1,0.02
166,AGS,KAGS,267600.0,17187,40.916099548339844,-81.44219970703125,1228,"4,380",0.177,0.011000000000000001,15.9,0.08
167,CAK,KCAK,261799.99999999997,19637,29.6900997162,-82.2717971802,152,"5,814",0.18,0.026000000000000002,18.1,0.02
168,GNV,KGNV,261799.99999999997,17281,30.691200256348,-88.242797851562,219,"4,758",0.16699999999999998,0.01,13.7,0.01
169,MOB,KMOB,261500.0,14475,47.9063,-122.281998,606,"4,969",0.171,0.024,15.8,0.0
170,PAE,KPAE,260400.00000000003,20336,38.13859939575195,-78.4529037475586,639,"1,444",0.151,0.015,14.0,0.01
171,CHO,KCHO,259799.99999999997,16720,30.40730094909668,-89.07009887695312,28,"5,408",0.20199999999999999,0.031,18.8,0.03
172,GPT,KGPT,243700.0,13803,46.772701263427734,-100.74600219726562,1661,"4,166",0.14,0.025,13.2,0.04
173,BIS,KBIS,241700.0,16336,38.509799957300004,-107.893997192,5759,"3,895",0.161,0.018000000000000002,15.5,1.0
174,MTJ,KMTJ,232700.0,10449,30.20529938,-91.98760223,42,"1,661",0.20199999999999999,0.026000000000000002,18.0,0.07
175,LFT,KLFT,224500.0,13897,36.58700180053711,-121.84300231933594,257,"4,797",0.159,0.03,14.6,0.19
176,MRY,KMRY,224200.0,12168,39.1223983765,-108.527000427,4858,"3,934",0.145,0.02,14.1,0.1
177,GJT,KGJT,221400.0,12926,28.102800369262695,-80.64530181884766,33,"3,661",0.106,0.01,10.9,0.0
178,MLB,KMLB,218500.0,12633,39.64260101,-106.9179993,6548,"2,385",0.131,0.015,10.9,0.0
179,EGE,KEGE,214500.0,7194,40.2192,-111.723,4497,"2,023",0.237,0.039,30.7,0.12
180,PVU,KPVU,208600.0,14684,40.48120117,-107.2180023,6606,668,0.204,0.006999999999999999,20.9,0.0
181,HDN,KHDN,196900.0,7225,46.26470184326172,-119.11900329589844,410,933,0.231,0.027000000000000003,25.0,0.0
182,PSC,KPSC,191100.0,26623,41.338500976599995,-75.72339630130001,962,"2,620",0.136,0.013000000000000001,15.0,0.07
183,AVP,KAVP,188600.0,13236,37.1515007019,-107.753997803,6685,"3,298",0.139,0.022000000000000002,13.1,0.02
184,DRO,KDRO,183300.0,10113,40.47710037,-88.91590118,871,"3,032",0.182,0.034,14.6,0.09
185,BMI,KBMI,173300.0,12387,34.991199,-78.880302,189,"2,809",0.157,0.03,14.6,0.51
186,FAY,KFAY,164500.0,10763,38.37310028076172,-81.59320068359375,981,"3,366",0.17800000000000002,0.017,14.3,0.03
187,CRW,KCRW,163800.0,10526,38.5452,-89.835197,459,"4,117",0.196,0.026000000000000002,19.7,0.02
188,BLV,KBLV,162600.0,14069,38.0369987488,-87.5324020386,418,940,0.26,0.005,26.2,0.04
189,EVV,KEVV,152600.0,10134,32.30059814,-86.39399719,221,"3,744",0.165,0.021,15.5,0.06
190,MGM,KMGM,150700.0,8483,41.504101,-74.104797,491,"3,442",0.187,0.012,16.1,0.03
191,SWF,KSWF,149700.0,10143,39.813801,-82.927803,744,"1,603",0.266,0.012,28.0,0.0
192,LCK,KLCK,147000.0,12800,55.35559845,-131.7140045,89,965,0.257,0.005,20.1,0.23
193,KTN,PAKT,142700.0,6606,47.48199844,-111.3710022,3680,"2,203",0.111,0.012,8.3,0.34
194,GTF,KGTF,141000.0,9086,35.433601,-119.056999,510,"1,628",0.08900000000000001,0.008,12.1,0.0
195,BFL,KBFL,140900.0,9463,48.2593994140625,-101.27999877929688,1716,"2,240",0.111,0.018000000000000002,11.8,0.0
196,MOT,KMOT,138700.0,9446,34.829201,-77.612099,94,"2,070",0.132,0.016,13.9,0.17
197,OAJ,KOAJ,136900.0,9254,41.25310135,-70.06020355,47,"2,611",0.155,0.013999999999999999,12.3,0.01
198,ACK,KACK,136500.0,5447,60.77980042,-161.8379974,126,"1,195",0.268,0.031,33.3,0.24
199,BET,PABE,135600.0,5918,37.036389,-113.510306,2941,759,0.129,0.028999999999999998,8.3,6.77
200,SGU,KSGU,127400.00000000001,7263,,,,"2,284",0.11699999999999999,0.008,12.3,0.04
